LAT	LON	YEAR	TminJF		YEAR	TminAbr		YEAR	TminND		YEAR	TMaxAgo
-54.2846	-75	1979-01	7.3		1979-04	5.1		1979-11	3.4		1979-08	0.3
-54.2846	-75	1979-02	6.9		1980-04	1.0		1979-12	5.4		1980-08	0.6
-54.2846	-75	1980-01	6.2		1981-04	4.9		1980-11	4.1		1981-08	1.3
-54.2846	-75	1980-02	5.0		1982-04	4.0		1980-12	4.1		1982-08	1.4
-54.2846	-75	1981-01	6.0		1983-04	6.3		1981-11	3.7		1983-08	2.3
-54.2846	-75	1981-02	6.5		1984-04	3.8		1981-12	4.5		1984-08	1.2
-54.2846	-75	1982-01	6.6		1985-04	5.2		1982-11	4.9		1985-08	3.0
-54.2846	-75	1982-02	7.0		1986-04	4.1		1982-12	5.6		1986-08	1.3
-54.2846	-75	1983-01	6.0		1987-04	3.7		1983-11	4.1		1987-08	1.5
-54.2846	-75	1983-02	4.8		1988-04	5.0		1983-12	6.1		1988-08	0.6
-54.2846	-75	1984-01	5.2		1989-04	4.7		1984-11	4.9		1989-08	3.3
-54.2846	-75	1984-02	6.2		1990-04	4.1		1984-12	4.8		1990-08	0.3
-54.2846	-75	1985-01	7.5		1991-04	5.0		1985-11	5.3		1991-08	1.4
-54.2846	-75	1985-02	7.6		1992-04	4.6		1985-12	5.3		1992-08	2.2
-54.2846	-75	1986-01	5.5		1993-04	3.6		1986-11	1.8		1993-08	2.0
-54.2846	-75	1986-02	5.6		1994-04	3.8		1986-12	5.0		1994-08	2.9
-54.2846	-75	1987-01	6.3		1995-04	4.4		1987-11	5.2		1995-08	-0.9
-54.2846	-75	1987-02	5.4		1996-04	4.2		1987-12	5.4		1996-08	1.6
-54.2846	-75	1988-01	6.3		1997-04	3.6		1988-11	4.9		1997-08	0.6
-54.2846	-75	1988-02	6.9		1998-04	6.1		1988-12	4.9		1998-08	2.1
-54.2846	-75	1989-01	6.4		1999-04	4.0		1989-11	5.4		1999-08	2.4
-54.2846	-75	1989-02	7.1		2000-04	3.8		1989-12	5.1		2000-08	2.0
-54.2846	-75	1990-01	7.1		2001-04	4.1		1990-11	2.9		2001-08	1.7
-54.2846	-75	1990-02	8.0		2002-04	4.6		1990-12	3.8		2002-08	1.8
-54.2846	-75	1991-01	6.0		2003-04	5.9		1991-11	3.4		2003-08	1.8
-54.2846	-75	1991-02	5.6		2004-04	4.3		1991-12	4.6		2004-08	0.1
-54.2846	-75	1992-01	6.7		2005-04	3.6		1992-11	3.6		2005-08	0.9
-54.2846	-75	1992-02	4.8		2006-04	4.0		1992-12	6.1		2006-08	1.5
-54.2846	-75	1993-01	7.0		2007-04	2.8		1993-11	4.2		2007-08	-0.1
-54.2846	-75	1993-02	6.6		2008-04	2.9		1993-12	3.6		2008-08	1.6
-54.2846	-75	1994-01	6.7		2009-04	3.4		1994-11	4.6		2009-08	1.9
-54.2846	-75	1994-02	6.1		2010-04	4.0		1994-12	5.9		2010-08	2.8
-54.2846	-75	1995-01	6.7		2011-04	3.7		1995-11	3.0		2011-08	1.3
-54.2846	-75	1995-02	7.1		2012-04	4.1		1995-12	4.3		2012-08	2.2
-54.2846	-75	1996-01	5.7		2013-04	5.1		1996-11	3.2		2013-08	1.4
-54.2846	-75	1996-02	5.2		2014-04	4.6		1996-12	4.2		2014-08	3.6
-54.2846	-75	1997-01	5.1		2015-04	3.6		1997-11	4.9		2015-08	0.6
-54.2846	-75	1997-02	5.0		2016-04	2.9		1997-12	5.8		2016-08	1.8
-54.2846	-75	1998-01	6.4		2017-04	5.8		1998-11	4.2		2017-08	1.3
-54.2846	-75	1998-02	6.6		2018-04	3.1		1998-12	5.2		2018-08	1.7
-54.2846	-75	1999-01	5.2		2019-04	3.5		1999-11	3.5		2019-08	2.5
-54.2846	-75	1999-02	5.2		2020-04	3.9		1999-12	4.7		2020-08	2.0
-54.2846	-75	2000-01	4.5					2000-11	4.3			
-54.2846	-75	2000-02	5.0					2000-12	4.7			
-54.2846	-75	2001-01	6.0					2001-11	2.5			
-54.2846	-75	2001-02	5.5					2001-12	4.4			
-54.2846	-75	2002-01	5.0					2002-11	4.1			
-54.2846	-75	2002-02	5.1					2002-12	5.9			
-54.2846	-75	2003-01	5.5					2003-11	3.1			
-54.2846	-75	2003-02	6.0					2003-12	3.9			
-54.2846	-75	2004-01	6.1					2004-11	3.8			
-54.2846	-75	2004-02	6.2					2004-12	4.1			
-54.2846	-75	2005-01	5.6					2005-11	3.4			
-54.2846	-75	2005-02	7.1					2005-12	3.9			
-54.2846	-75	2006-01	5.7					2006-11	2.2			
-54.2846	-75	2006-02	5.6					2006-12	4.4			
-54.2846	-75	2007-01	5.7					2007-11	2.8			
-54.2846	-75	2007-02	5.5					2007-12	4.4			
-54.2846	-75	2008-01	5.0					2008-11	2.1			
-54.2846	-75	2008-02	6.0					2008-12	4.2			
-54.2846	-75	2009-01	5.6					2009-11	1.3			
-54.2846	-75	2009-02	5.2					2009-12	3.2			
-54.2846	-75	2010-01	5.9					2010-11	2.3			
-54.2846	-75	2010-02	4.7					2010-12	2.2			
-54.2846	-75	2011-01	3.5					2011-11	3.1			
-54.2846	-75	2011-02	5.3					2011-12	3.4			
-54.2846	-75	2012-01	5.2					2012-11	2.9			
-54.2846	-75	2012-02	3.6					2012-12	3.4			
-54.2846	-75	2013-01	6.8					2013-11	2.2			
-54.2846	-75	2013-02	5.8					2013-12	3.7			
-54.2846	-75	2014-01	4.5					2014-11	3.6			
-54.2846	-75	2014-02	4.3					2014-12	4.1			
-54.2846	-75	2015-01	5.6					2015-11	2.5			
-54.2846	-75	2015-02	6.1					2015-12	3.1			
-54.2846	-75	2016-01	5.3					2016-11	3.8			
-54.2846	-75	2016-02	5.8					2016-12	3.9			
-54.2846	-75	2017-01	5.5					2017-11	3.9			
-54.2846	-75	2017-02	6.0					2017-12	4.9			
-54.2846	-75	2018-01	4.3					2018-11	3.1			
-54.2846	-75	2018-02	6.4					2018-12	3.8			
-54.2846	-75	2019-01	5.5					2019-11	3.4			
-54.2846	-75	2019-02	4.6					2019-12	5.1			
-54.2846	-75	2020-01	5.8					2020-11	4.0			
-54.2846	-75	2020-02	5.5					2020-12	4.1			

