LAT	LON	YEAR	TminDJ		YEAR	TMaxDez
-59.9986	-75	1979-12	2.4		1979-12	7.3
-59.9986	-75	1979-01	4.5		1980-12	6.4
-59.9986	-75	1980-12	3.2		1981-12	6.1
-59.9986	-75	1980-01	3.9		1982-12	6.4
-59.9986	-75	1981-12	3.1		1983-12	6.8
-59.9986	-75	1981-01	4.5		1984-12	7.9
-59.9986	-75	1982-12	3.3		1985-12	6.7
-59.9986	-75	1982-01	4.9		1986-12	5.5
-59.9986	-75	1983-12	3.8		1987-12	7.7
-59.9986	-75	1983-01	4.9		1988-12	7.3
-59.9986	-75	1984-12	2.5		1989-12	7.2
-59.9986	-75	1984-01	3.2		1990-12	6.6
-59.9986	-75	1985-12	3.0		1991-12	5.6
-59.9986	-75	1985-01	4.2		1992-12	8.5
-59.9986	-75	1986-12	1.4		1993-12	6.7
-59.9986	-75	1986-01	3.4		1994-12	7.5
-59.9986	-75	1987-12	3.6		1995-12	6.9
-59.9986	-75	1987-01	2.5		1996-12	6.3
-59.9986	-75	1988-12	3.0		1997-12	7.0
-59.9986	-75	1988-01	4.9		1998-12	5.5
-59.9986	-75	1989-12	2.8		1999-12	6.2
-59.9986	-75	1989-01	4.5		2000-12	6.0
-59.9986	-75	1990-12	0.9		2001-12	5.8
-59.9986	-75	1990-01	6.1		2002-12	7.4
-59.9986	-75	1991-12	2.7		2003-12	6.1
-59.9986	-75	1991-01	3.7		2004-12	6.6
-59.9986	-75	1992-12	4.6		2005-12	7.2
-59.9986	-75	1992-01	4.9		2006-12	6.4
-59.9986	-75	1993-12	2.2		2007-12	5.8
-59.9986	-75	1993-01	4.4		2008-12	7.4
-59.9986	-75	1994-12	3.2		2009-12	5.7
-59.9986	-75	1994-01	4.1		2010-12	5.7
-59.9986	-75	1995-12	3.1		2011-12	6.6
-59.9986	-75	1995-01	4.5		2012-12	6.3
-59.9986	-75	1996-12	2.0		2013-12	5.3
-59.9986	-75	1996-01	4.2		2014-12	6.0
-59.9986	-75	1997-12	2.4		2015-12	5.4
-59.9986	-75	1997-01	3.6		2016-12	5.4
-59.9986	-75	1998-12	1.9		2017-12	6.4
-59.9986	-75	1998-01	3.5		2018-12	6.1
-59.9986	-75	1999-12	2.4		2019-12	6.6
-59.9986	-75	1999-01	2.4		2020-12	5.7
-59.9986	-75	2000-12	2.0			
-59.9986	-75	2000-01	2.6			
-59.9986	-75	2001-12	2.4			
-59.9986	-75	2001-01	2.7			
-59.9986	-75	2002-12	3.1			
-59.9986	-75	2002-01	2.6			
-59.9986	-75	2003-12	1.3			
-59.9986	-75	2003-01	3.5			
-59.9986	-75	2004-12	1.6			
-59.9986	-75	2004-01	2.4			
-59.9986	-75	2005-12	0.7			
-59.9986	-75	2005-01	3.1			
-59.9986	-75	2006-12	2.4			
-59.9986	-75	2006-01	3.7			
-59.9986	-75	2007-12	1.4			
-59.9986	-75	2007-01	4.6			
-59.9986	-75	2008-12	1.2			
-59.9986	-75	2008-01	3.1			
-59.9986	-75	2009-12	1.0			
-59.9986	-75	2009-01	3.0			
-59.9986	-75	2010-12	-0.5			
-59.9986	-75	2010-01	2.6			
-59.9986	-75	2011-12	2.8			
-59.9986	-75	2011-01	2.3			
-59.9986	-75	2012-12	0.5			
-59.9986	-75	2012-01	3.2			
-59.9986	-75	2013-12	0.8			
-59.9986	-75	2013-01	4.5			
-59.9986	-75	2014-12	1.6			
-59.9986	-75	2014-01	2.1			
-59.9986	-75	2015-12	-0.2			
-59.9986	-75	2015-01	2.8			
-59.9986	-75	2016-12	2.2			
-59.9986	-75	2016-01	1.6			
-59.9986	-75	2017-12	2.4			
-59.9986	-75	2017-01	2.2			
-59.9986	-75	2018-12	1.8			
-59.9986	-75	2018-01	1.9			
-59.9986	-75	2019-12	2.5			
-59.9986	-75	2019-01	2.3			
-59.9986	-75	2020-12	1.5			
-59.9986	-75	2020-01	5.0			

