LAT	LON	YEAR	TminDJ		YEAR	TminABR
-65.7125	-75	1979-12	-1.7		1979-04	-2.3
-65.7125	-75	1979-01	0.0		1980-04	-13.5
-65.7125	-75	1980-12	-2.0		1981-04	-6.4
-65.7125	-75	1980-01	-0.3		1982-04	-5.6
-65.7125	-75	1981-12	-1.8		1983-04	-1.9
-65.7125	-75	1981-01	0.1		1984-04	-4.1
-65.7125	-75	1982-12	-1.1		1985-04	-1.8
-65.7125	-75	1982-01	1.0		1986-04	-3.3
-65.7125	-75	1983-12	-1.6		1987-04	-6.8
-65.7125	-75	1983-01	-0.4		1988-04	-3.5
-65.7125	-75	1984-12	-1.4		1989-04	-2.4
-65.7125	-75	1984-01	-0.1		1990-04	-3.7
-65.7125	-75	1985-12	-1.4		1991-04	-2.6
-65.7125	-75	1985-01	0.4		1992-04	-3.4
-65.7125	-75	1986-12	-2.0		1993-04	-3.8
-65.7125	-75	1986-01	-0.5		1994-04	-3.0
-65.7125	-75	1987-12	-1.2		1995-04	-2.6
-65.7125	-75	1987-01	-1.0		1996-04	-2.6
-65.7125	-75	1988-12	-1.2		1997-04	-3.4
-65.7125	-75	1988-01	0.8		1998-04	-2.9
-65.7125	-75	1989-12	-0.9		1999-04	-2.9
-65.7125	-75	1989-01	1.0		2000-04	-2.2
-65.7125	-75	1990-12	-0.9		2001-04	-5.4
-65.7125	-75	1990-01	2.0		2002-04	-1.6
-65.7125	-75	1991-12	-1.2		2003-04	-2.7
-65.7125	-75	1991-01	-0.9		2004-04	-1.8
-65.7125	-75	1992-12	-0.6		2005-04	-5.4
-65.7125	-75	1992-01	0.2		2006-04	-1.5
-65.7125	-75	1993-12	-1.6		2007-04	-2.3
-65.7125	-75	1993-01	0.4		2008-04	-2.1
-65.7125	-75	1994-12	-1.5		2009-04	-6.4
-65.7125	-75	1994-01	0.6		2010-04	-2.0
-65.7125	-75	1995-12	-0.9		2011-04	-2.8
-65.7125	-75	1995-01	-0.1		2012-04	-1.4
-65.7125	-75	1996-12	-2.6		2013-04	-1.6
-65.7125	-75	1996-01	-0.1		2014-04	-1.5
-65.7125	-75	1997-12	-0.2		2015-04	-2.7
-65.7125	-75	1997-01	0.3		2016-04	-9.5
-65.7125	-75	1998-12	-1.9		2017-04	-1.6
-65.7125	-75	1998-01	-0.4		2018-04	-2.8
-65.7125	-75	1999-12	-1.1		2019-04	-3.0
-65.7125	-75	1999-01	-1.0		2020-04	-3.7
-65.7125	-75	2000-12	-1.8			
-65.7125	-75	2000-01	-0.9			
-65.7125	-75	2001-12	-2.2			
-65.7125	-75	2001-01	-0.4			
-65.7125	-75	2002-12	-1.8			
-65.7125	-75	2002-01	-0.1			
-65.7125	-75	2003-12	-5.4			
-65.7125	-75	2003-01	-0.1			
-65.7125	-75	2004-12	-2.6			
-65.7125	-75	2004-01	-1.2			
-65.7125	-75	2005-12	-4.6			
-65.7125	-75	2005-01	-1.0			
-65.7125	-75	2006-12	-0.9			
-65.7125	-75	2006-01	-0.3			
-65.7125	-75	2007-12	-2.2			
-65.7125	-75	2007-01	0.0			
-65.7125	-75	2008-12	-2.5			
-65.7125	-75	2008-01	-1.1			
-65.7125	-75	2009-12	-2.5			
-65.7125	-75	2009-01	-1.4			
-65.7125	-75	2010-12	-3.3			
-65.7125	-75	2010-01	-1.4			
-65.7125	-75	2011-12	-1.6			
-65.7125	-75	2011-01	-1.0			
-65.7125	-75	2012-12	-3.7			
-65.7125	-75	2012-01	-0.4			
-65.7125	-75	2013-12	-4.7			
-65.7125	-75	2013-01	-1.0			
-65.7125	-75	2014-12	-2.5			
-65.7125	-75	2014-01	-2.6			
-65.7125	-75	2015-12	-3.0			
-65.7125	-75	2015-01	-0.6			
-65.7125	-75	2016-12	-1.5			
-65.7125	-75	2016-01	-1.3			
-65.7125	-75	2017-10	-2.2			
-65.7125	-75	2017-01	-0.1			
-65.7125	-75	2018-10	-2.0			
-65.7125	-75	2018-01	-1.8			
-65.7125	-75	2019-12	-1.0			
-65.7125	-75	2019-01	-0.5			
-65.7125	-75	2020-12	-1.9			
-65.7125	-75	2020-01	0.3			

