LAT	LON	YEAR	TminJJA		YEAR	TminSO		YEAR	TmaxJAN
-69.5217	-75	1979-06	-44.0		1979-09	-49.5		1979-01	1.3
-69.5217	-75	1979-07	-52.7		1979-10	-37.5		1980-01	0.9
-69.5217	-75	1979-08	-55.8		1980-09	-42.7		1981-01	1.2
-69.5217	-75	1980-06	-40.6		1980-10	-35.6		1982-01	1.4
-69.5217	-75	1980-07	-44.0		1981-09	-45.0		1983-01	0.8
-69.5217	-75	1980-08	-52.5		1981-10	-48.5		1984-01	1.0
-69.5217	-75	1981-06	-35.7		1982-09	-60.5		1985-01	1.3
-69.5217	-75	1981-07	-44.0		1982-10	-45.7		1986-01	1.0
-69.5217	-75	1981-08	-54.9		1983-09	-53.8		1987-01	0.9
-69.5217	-75	1982-06	-46.5		1983-10	-44.7		1988-01	0.8
-69.5217	-75	1982-07	-45.8		1984-09	-64.3		1989-01	1.2
-69.5217	-75	1982-08	-51.5		1984-10	-42.7		1990-01	0.4
-69.5217	-75	1983-06	-36.8		1985-09	-48.2		1991-01	0.4
-69.5217	-75	1983-07	-42.4		1985-10	-42.3		1992-01	1.0
-69.5217	-75	1983-08	-46.2		1986-09	-47.1		1993-01	1.2
-69.5217	-75	1984-06	-39.7		1986-10	-54.5		1994-01	0.9
-69.5217	-75	1984-07	-46.1		1987-09	-64.8		1995-01	1.0
-69.5217	-75	1984-08	-45.4		1987-10	-32.6		1996-01	0.9
-69.5217	-75	1985-06	-33.9		1988-09	-34.4		1997-01	1.3
-69.5217	-75	1985-07	-56.8		1988-10	-29.3		1998-01	1.0
-69.5217	-75	1985-08	-55.1		1989-09	-37.1		1999-01	1.1
-69.5217	-75	1986-06	-38.3		1989-10	-25.8		2000-01	0.7
-69.5217	-75	1986-07	-42.6		1990-09	-57.3		2001-01	1.1
-69.5217	-75	1986-08	-48.6		1990-10	-38.2		2002-01	0.8
-69.5217	-75	1987-06	-47.5		1991-09	-29.6		2003-01	1.1
-69.5217	-75	1987-07	-59.0		1991-10	-36.3		2004-01	0.6
-69.5217	-75	1987-08	-51.9		1992-09	-58.0		2005-01	0.5
